,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_size,test_size,noise_level,train_time
0,0.3104519844055176,0.8746,66.0178,151.474,9.467,2.0,1000,10000,0.0,36.7398042678833
1,0.31526315212249756,0.8741,64.9445,153.978,9.624,2.0,1000,10000,0.025,37.18142247200012
2,0.312757670879364,0.8745,64.8894,154.108,9.632,2.0,1000,10000,0.05,37.17044758796692
3,0.3149000406265259,0.8816,64.0083,156.23,9.764,2.0,1000,10000,0.07500000000000001,36.66660952568054
4,0.3356841504573822,0.8721,64.4618,155.131,9.696,2.0,1000,10000,0.1,36.97578239440918
5,0.357726126909256,0.868,64.2204,155.714,9.732,2.0,1000,10000,0.125,36.760963439941406
6,0.36206763982772827,0.872,63.5295,157.407,9.838,2.0,1000,10000,0.15000000000000002,36.62272763252258
7,0.3735225200653076,0.8762,63.9553,156.359,9.772,2.0,1000,10000,0.17500000000000002,37.15808129310608
8,0.3898729383945465,0.8722,49.0106,204.038,12.752,2.0,1000,10000,0.2,30.477041482925415
9,0.4276202619075775,0.8646,47.5674,210.228,13.139,2.0,1000,10000,0.225,30.404688358306885
10,0.456268310546875,0.8494,49.1044,203.648,12.728,2.0,1000,10000,0.25,28.40154004096985
11,0.26007574796676636,0.9005,48.756,205.103,12.819,2.0,2000,10000,0.0,55.627822399139404
12,0.2676575779914856,0.8972,64.8739,154.145,9.634,2.0,2000,10000,0.025,70.80627274513245
13,0.27251678705215454,0.8937,66.0483,151.404,9.463,2.0,2000,10000,0.05,71.86618113517761
14,0.2771104574203491,0.8889,63.7046,156.975,9.811,2.0,2000,10000,0.07500000000000001,70.30461812019348
15,0.2868134379386902,0.8879,65.8803,151.791,9.487,2.0,2000,10000,0.1,71.18367147445679
16,0.3034147322177887,0.8879,65.0883,153.637,9.602,2.0,2000,10000,0.125,70.97141003608704
17,0.31539854407310486,0.8857,67.7623,147.575,9.223,2.0,2000,10000,0.15000000000000002,71.91751670837402
18,0.334369421005249,0.8816,65.5693,152.51,9.532,2.0,2000,10000,0.17500000000000002,71.76198244094849
19,0.3516261875629425,0.8806,65.4607,152.763,9.548,2.0,2000,10000,0.2,71.71739768981934
20,0.36091548204421997,0.8806,48.1692,207.602,12.975,2.0,2000,10000,0.225,57.069226026535034
21,0.39304378628730774,0.8774,47.665,209.797,13.112,2.0,2000,10000,0.25,55.67912554740906
22,0.27413055300712585,0.9029,66.8088,149.681,9.355,2.0,3000,10000,0.0,108.72183132171631
23,0.26595646142959595,0.9017,64.0899,156.031,9.752,2.0,3000,10000,0.025,108.25442171096802
24,0.2620336413383484,0.9001,67.271,148.652,9.291,2.0,3000,10000,0.05,110.14694452285767
25,0.276203989982605,0.8922,65.8898,151.769,9.486,2.0,3000,10000,0.07500000000000001,109.5975513458252
26,0.28918227553367615,0.8904,69.977,142.904,8.932,2.0,3000,10000,0.1,110.92322254180908
27,0.28819191455841064,0.8958,65.1827,153.415,9.588,2.0,3000,10000,0.125,108.33182787895203
28,0.2997930645942688,0.8967,66.0126,151.486,9.468,2.0,3000,10000,0.15000000000000002,110.6131763458252
29,0.32126328349113464,0.892,67.0125,149.226,9.327,2.0,3000,10000,0.17500000000000002,109.5847954750061
30,0.341661274433136,0.8875,49.1867,203.307,12.707,2.0,3000,10000,0.2,85.62482810020447
31,0.358517587184906,0.8838,47.7182,209.564,13.098,2.0,3000,10000,0.225,85.42281532287598
32,0.37460318207740784,0.8799,64.2577,155.623,9.726,2.0,3000,10000,0.25,108.31143021583557
33,0.2691868543624878,0.9094,65.7926,151.993,9.5,2.0,4000,10000,0.0,145.497784614563
34,0.247305229306221,0.906,48.0514,208.111,13.007,2.0,4000,10000,0.025,114.01864767074585
35,0.25174733996391296,0.9018,67.6946,147.722,9.233,2.0,4000,10000,0.05,145.48313927650452
36,0.2599027454853058,0.9007,66.2568,150.928,9.433,2.0,4000,10000,0.07500000000000001,147.99461555480957
37,0.2678927779197693,0.899,64.8095,154.298,9.644,2.0,4000,10000,0.1,145.27097582817078
38,0.2750474810600281,0.8963,67.1383,148.946,9.309,2.0,4000,10000,0.125,146.58989572525024
39,0.2935258746147156,0.8934,65.7959,151.985,9.499,2.0,4000,10000,0.15000000000000002,146.37404084205627
40,0.3149593770503998,0.8907,69.0813,144.757,9.047,2.0,4000,10000,0.17500000000000002,149.23786854743958
41,0.3345125913619995,0.889,48.4504,206.397,12.9,2.0,4000,10000,0.2,112.33117127418518
42,0.3521590232849121,0.8852,48.1831,207.542,12.971,2.0,4000,10000,0.225,115.12052869796753
43,0.36882394552230835,0.8855,64.1391,155.911,9.744,2.0,4000,10000,0.25,143.4526662826538
44,0.2634320557117462,0.9121,48.8185,204.84,12.803,2.0,5000,10000,0.0,143.61762976646423
45,0.25264766812324524,0.9091,65.9096,151.723,9.483,2.0,5000,10000,0.025,183.80820608139038
46,0.2488258332014084,0.907,66.0496,151.401,9.463,2.0,5000,10000,0.05,180.76262760162354
47,0.24967049062252045,0.9066,67.2242,148.756,9.297,2.0,5000,10000,0.07500000000000001,184.71082639694214
48,0.258890300989151,0.9033,66.092,151.304,9.457,2.0,5000,10000,0.1,181.79852271080017
49,0.272860050201416,0.8979,65.9701,151.584,9.474,2.0,5000,10000,0.125,184.25154781341553
50,0.2910415828227997,0.8989,66.0618,151.373,9.461,2.0,5000,10000,0.15000000000000002,183.37804675102234
51,0.3117544651031494,0.8952,69.3279,144.242,9.015,2.0,5000,10000,0.17500000000000002,186.66517734527588
52,0.3261720538139343,0.8909,47.9214,208.675,13.042,2.0,5000,10000,0.2,142.36322832107544
53,0.35359692573547363,0.8882,65.2448,153.269,9.579,2.0,5000,10000,0.225,180.46152877807617
54,0.36455968022346497,0.8889,47.7645,209.361,13.085,2.0,5000,10000,0.25,140.5830671787262
55,0.26280760765075684,0.9141,66.0072,151.499,9.469,2.0,6000,10000,0.0,219.07762026786804
56,0.25079384446144104,0.9117,64.8837,154.122,9.633,2.0,6000,10000,0.025,216.25141215324402
57,0.23625415563583374,0.9098,66.1445,151.184,9.449,2.0,6000,10000,0.05,218.92293190956116
58,0.2452167421579361,0.9078,66.2521,150.939,9.434,2.0,6000,10000,0.07500000000000001,220.3167486190796
59,0.25982359051704407,0.9055,66.2464,150.952,9.434,2.0,6000,10000,0.1,220.50615072250366
60,0.27082768082618713,0.9029,65.8677,151.819,9.489,2.0,6000,10000,0.125,220.72231245040894
61,0.28875502943992615,0.8985,69.3546,144.187,9.012,2.0,6000,10000,0.15000000000000002,223.80246663093567
62,0.3028806149959564,0.8985,48.7996,204.92,12.807,2.0,6000,10000,0.17500000000000002,169.11407661437988
63,0.3164269030094147,0.8962,48.037,208.173,13.011,2.0,6000,10000,0.2,170.69516324996948
64,0.34645357728004456,0.89,64.3433,155.416,9.714,2.0,6000,10000,0.225,215.84317755699158
65,0.3625934422016144,0.8822,64.901,154.081,9.63,2.0,6000,10000,0.25,218.527423620224
66,0.258823037147522,0.9161,65.9516,151.626,9.477,2.0,7000,10000,0.0,254.59734106063843
67,0.2391960471868515,0.9149,49.0508,203.87,12.742,2.0,7000,10000,0.025,201.2692267894745
68,0.22842074930667877,0.913,66.1676,151.131,9.446,2.0,7000,10000,0.05,254.57511496543884
69,0.23756618797779083,0.9115,66.2392,150.968,9.436,2.0,7000,10000,0.07500000000000001,256.4337317943573
70,0.2562599778175354,0.906,66.3089,150.809,9.426,2.0,7000,10000,0.1,257.2430090904236
71,0.2622428834438324,0.9069,65.8013,151.973,9.498,2.0,7000,10000,0.125,256.12615633010864
72,0.2815026640892029,0.8996,70.4966,141.851,8.866,2.0,7000,10000,0.15000000000000002,259.8470733165741
73,0.2997487783432007,0.897,47.7437,209.452,13.091,2.0,7000,10000,0.17500000000000002,195.79544281959534
74,0.31353461742401123,0.8968,64.2737,155.585,9.724,2.0,7000,10000,0.2,256.80518436431885
75,0.3435187041759491,0.8884,49.0869,203.721,12.733,2.0,7000,10000,0.225,200.11832284927368
76,0.36629539728164673,0.8879,65.0543,153.718,9.607,2.0,7000,10000,0.25,252.67743492126465
77,0.26635774970054626,0.9166,48.1811,207.55,12.972,2.0,8000,10000,0.0,225.93976259231567
78,0.2334025353193283,0.9174,66.0861,151.318,9.457,2.0,8000,10000,0.025,293.3658287525177
79,0.23078525066375732,0.9129,66.1122,151.258,9.454,2.0,8000,10000,0.05,293.67271733283997
80,0.2376338690519333,0.9125,65.8204,151.929,9.496,2.0,8000,10000,0.07500000000000001,293.9916441440582
81,0.25169891119003296,0.91,66.27,150.898,9.431,2.0,8000,10000,0.1,295.4043126106262
82,0.26267147064208984,0.91,66.1421,151.19,9.449,2.0,8000,10000,0.125,293.6489202976227
83,0.28195077180862427,0.9047,71.235,140.38,8.774,2.0,8000,10000,0.15000000000000002,297.76857256889343
84,0.29931584000587463,0.9056,64.2613,155.615,9.726,2.0,8000,10000,0.17500000000000002,288.5498580932617
85,0.3253574073314667,0.8988,47.9538,208.534,13.033,2.0,8000,10000,0.2,228.10391807556152
86,0.3471532166004181,0.8927,48.0417,208.153,13.01,2.0,8000,10000,0.225,225.59088587760925
87,0.3696114718914032,0.89,64.9613,153.938,9.621,2.0,8000,10000,0.25,290.1739733219147
88,0.256778359413147,0.9208,66.1353,151.205,9.45,2.0,9000,10000,0.0,329.2547335624695
89,0.2304738312959671,0.9193,66.0588,151.38,9.461,2.0,9000,10000,0.025,337.6732265949249
90,0.2281264215707779,0.9174,65.8553,151.848,9.49,2.0,9000,10000,0.05,330.0758693218231
91,0.23433877527713776,0.9124,66.1762,151.112,9.444,2.0,9000,10000,0.07500000000000001,332.37781715393066
92,0.250073105096817,0.9093,67.2344,148.733,9.296,2.0,9000,10000,0.1,331.10555267333984
93,0.2642664909362793,0.9061,69.2531,144.398,9.025,2.0,9000,10000,0.125,334.82459783554077
94,0.2770909070968628,0.906,48.408,206.578,12.911,2.0,9000,10000,0.15000000000000002,254.89173221588135
95,0.2993123531341553,0.904,65.4179,152.863,9.554,2.0,9000,10000,0.17500000000000002,323.599978685379
96,0.3171018362045288,0.9006,49.0978,203.675,12.73,2.0,9000,10000,0.2,258.45765256881714
97,0.3395197093486786,0.8943,64.8418,154.222,9.639,2.0,9000,10000,0.225,325.5081169605255
98,0.36090943217277527,0.8946,65.9414,151.65,9.478,2.0,9000,10000,0.25,329.2256724834442
99,0.24875156581401825,0.9229,66.1266,151.225,9.452,2.0,10000,10000,0.0,364.93443298339844
100,0.22359491884708405,0.9196,67.0592,149.122,9.32,2.0,10000,10000,0.025,366.8027148246765
101,0.22608645260334015,0.9187,47.8341,209.056,13.066,2.0,10000,10000,0.05,285.8364760875702
102,0.23204927146434784,0.915,66.2579,150.926,9.433,2.0,10000,10000,0.07500000000000001,369.4503540992737
103,0.2501581311225891,0.9117,66.2521,150.939,9.434,2.0,10000,10000,0.1,368.81159949302673
104,0.26590555906295776,0.9089,69.6683,143.537,8.971,2.0,10000,10000,0.125,373.0862102508545
105,0.2805507779121399,0.9069,47.7042,209.625,13.102,2.0,10000,10000,0.15000000000000002,283.78950548171997
106,0.29939794540405273,0.9068,65.3622,152.994,9.562,2.0,10000,10000,0.17500000000000002,359.9917550086975
107,0.31821078062057495,0.9047,65.818,151.934,9.496,2.0,10000,10000,0.2,363.28432059288025
108,0.3370337188243866,0.8995,47.9429,208.581,13.036,2.0,10000,10000,0.225,283.0342252254486
109,0.3586714565753937,0.8985,66.0034,151.507,9.469,2.0,10000,10000,0.25,366.64428877830505
110,0.25085529685020447,0.9206,48.5664,205.904,12.869,2.0,11000,10000,0.0,311.6041429042816
111,0.22622528672218323,0.9207,66.2125,151.029,9.439,2.0,11000,10000,0.025,403.45764446258545
112,0.2186407446861267,0.921,65.8471,151.867,9.492,2.0,11000,10000,0.05,404.4490714073181
113,0.23110748827457428,0.9147,66.3847,150.637,9.415,2.0,11000,10000,0.07500000000000001,406.37958550453186
114,0.24740853905677795,0.9119,66.3305,150.76,9.423,2.0,11000,10000,0.1,405.5733199119568
115,0.26534008979797363,0.9094,70.1385,142.575,8.911,2.0,11000,10000,0.125,410.13121509552
116,0.28440922498703003,0.9085,64.2467,155.65,9.728,2.0,11000,10000,0.15000000000000002,396.24591732025146
117,0.31046029925346375,0.8989,48.073,208.017,13.001,2.0,11000,10000,0.17500000000000002,314.1483361721039
118,0.32239794731140137,0.8992,66.9143,149.445,9.34,2.0,11000,10000,0.2,403.10037446022034
119,0.3452594578266144,0.8933,47.6749,209.754,13.11,2.0,11000,10000,0.225,313.88833713531494
120,0.36297038197517395,0.8924,66.658,150.02,9.376,2.0,11000,10000,0.25,402.91603446006775
121,0.23740561306476593,0.9231,66.2364,150.974,9.436,2.0,12000,10000,0.0,440.0561339855194
122,0.21669499576091766,0.921,65.93,151.676,9.48,2.0,12000,10000,0.025,441.76011204719543
123,0.220636248588562,0.9192,66.3993,150.604,9.413,2.0,12000,10000,0.05,444.47384881973267
124,0.23020415008068085,0.9157,66.1999,151.058,9.441,2.0,12000,10000,0.07500000000000001,444.58515787124634
125,0.24821250140666962,0.9125,69.0966,144.725,9.045,2.0,12000,10000,0.1,447.83992862701416
126,0.26542168855667114,0.9116,65.4356,152.822,9.551,2.0,12000,10000,0.125,434.54505801200867
127,0.28248652815818787,0.908,49.1566,203.432,12.714,2.0,12000,10000,0.15000000000000002,341.71818137168884
128,0.29521429538726807,0.908,47.7,209.644,13.103,2.0,12000,10000,0.17500000000000002,340.07872557640076
129,0.31549373269081116,0.9044,65.853,151.853,9.491,2.0,12000,10000,0.2,439.7033805847168
130,0.33947864174842834,0.9024,66.1055,151.273,9.455,2.0,12000,10000,0.225,440.6207449436188
131,0.367599755525589,0.8962,67.1877,148.837,9.302,2.0,12000,10000,0.25,440.4793281555176
132,0.24480029940605164,0.924,65.9998,151.516,9.47,2.0,13000,10000,0.0,479.52441573143005
133,0.216077983379364,0.9223,66.357,150.7,9.419,2.0,13000,10000,0.025,481.7717888355255
134,0.21716491878032684,0.9217,49.0568,203.845,12.74,2.0,13000,10000,0.05,369.3533842563629
135,0.22904570400714874,0.9166,66.3883,150.629,9.414,2.0,13000,10000,0.07500000000000001,480.19520568847656
136,0.24240107834339142,0.9139,70.3767,142.092,8.881,2.0,13000,10000,0.1,485.86358428001404
137,0.2624543309211731,0.9093,64.3819,155.323,9.708,2.0,13000,10000,0.125,468.80033779144287
138,0.28468841314315796,0.9054,49.1405,203.498,12.719,2.0,13000,10000,0.15000000000000002,367.56985902786255
139,0.3039110004901886,0.9011,65.7738,152.036,9.502,2.0,13000,10000,0.17500000000000002,477.2914912700653
140,0.3244766592979431,0.8969,66.0619,151.373,9.461,2.0,13000,10000,0.2,478.0534710884094
141,0.3512898087501526,0.8969,48.2141,207.408,12.963,2.0,13000,10000,0.225,372.0064973831177
142,0.3741402328014374,0.8913,67.2344,148.733,9.296,2.0,13000,10000,0.25,477.03407406806946
143,0.2528236210346222,0.9249,65.9381,151.657,9.479,2.0,14000,10000,0.0,517.8174915313721
144,0.22092290222644806,0.9229,47.8966,208.783,13.049,2.0,14000,10000,0.025,397.6945233345032
145,0.22331459820270538,0.9177,66.2204,151.011,9.438,2.0,14000,10000,0.05,518.0339331626892
146,0.23324497044086456,0.9167,66.2885,150.856,9.428,2.0,14000,10000,0.07500000000000001,517.3062326908112
147,0.24442395567893982,0.9157,69.4289,144.032,9.002,2.0,14000,10000,0.1,523.7366271018982
148,0.26054930686950684,0.9099,65.5071,152.655,9.541,2.0,14000,10000,0.125,505.84580087661743
149,0.2821163535118103,0.9087,65.8666,151.822,9.489,2.0,14000,10000,0.15000000000000002,513.5735366344452
150,0.30601465702056885,0.9041,48.0839,207.97,12.998,2.0,14000,10000,0.17500000000000002,398.1622009277344
151,0.31575506925582886,0.9054,66.1133,151.255,9.453,2.0,14000,10000,0.2,514.3836522102356
152,0.33874550461769104,0.9023,48.9697,204.208,12.763,2.0,14000,10000,0.225,396.2802982330322
153,0.3627132177352905,0.8971,66.2294,150.99,9.437,2.0,14000,10000,0.25,513.4188747406006
154,0.24538737535476685,0.9257,66.9659,149.33,9.333,2.0,15000,10000,0.0,550.4851830005646
155,0.22200563549995422,0.9239,67.1788,148.856,9.304,2.0,15000,10000,0.025,554.0948963165283
156,0.21985509991645813,0.9218,66.284,150.866,9.429,2.0,15000,10000,0.05,553.3326003551483
157,0.2279900461435318,0.9183,64.2408,155.664,9.729,2.0,15000,10000,0.07500000000000001,541.3351459503174
158,0.2373957484960556,0.9186,71.2252,140.4,8.775,2.0,15000,10000,0.1,558.9296569824219
159,0.2520958483219147,0.9136,48.199,207.473,12.967,2.0,15000,10000,0.125,425.71407413482666
160,0.27189838886260986,0.9145,65.7824,152.016,9.501,2.0,15000,10000,0.15000000000000002,550.215411901474
161,0.2937857508659363,0.9092,47.9322,208.628,13.039,2.0,15000,10000,0.17500000000000002,425.4731481075287
162,0.3131004869937897,0.9086,67.1831,148.847,9.303,2.0,15000,10000,0.2,549.6607451438904
163,0.3361688554286957,0.9029,66.2275,150.995,9.437,2.0,15000,10000,0.225,558.8715360164642
164,0.35838383436203003,0.8986,66.1441,151.185,9.449,2.0,15000,10000,0.25,551.4426083564758
